Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Finland,FIN,26242.128,24342.604,24963.415,26946.518,32915.019,37736.545,39103,41238.707,48463.305,53785.144,47337.938,46391.713,50960.182,47553.397,49766.126,50087.853,42505.91,43582.433,45937.75
France,FRA,25549.696,23207.839,23240.837,25113.254,30675.365,35004.53,36082.12,37793.808,43059.907,47191.131,43176.385,42181.583,45410.097,42371.124,44145.229,44616.405,37937.853,38253.422,40045.578
Gabon,GAB,4222.734,4477.321,4065.16,4206.24,5014.408,5835.668,6947.513,7270.687,8652.12,10426.212,7854.2,8933.942,10891.096,9903.189,9760.882,9746.775,7453.113,7082.286,7369.343
The Gambia,GMB,903.464,854.358,822.49,704.994,648.807,716.938,746.113,718.073,827.647,1015.355,907.499,963.529,800.32,789.626,735.236,656.497,693.01,708.855,705.038
Georgia,GEO,668.265,742.658,797.114,850.804,1006.45,1301.716,1636.703,1992.091,2626.832,3325.488,2811.925,3062.853,3825.156,4237.928,4340.711,4441.774,3759.598,3856.067,4046.89
Germany,DEU,27053.846,24003.789,23945.534,25565.13,30779.565,34646.669,35236.678,37018.783,42531.246,46681.071,42576.208,42641.416,46852.925,44089.275,46544.947,48218.87,41415.169,42460.686,44770.578
Ghana,GHA,1011.726,606.32,630.327,714.156,858.791,970.464,1147.602,1315.805,1516.054,1677.368,1462.796,1745.539,2123.648,2184.39,2389.773,1962.658,1753.851,1941.46,2037.953
Greece,GRC,13901.672,12268.253,12577.02,14171.836,18530.221,22007.85,22624.066,24857.207,28899.948,32198.014,29819.229,26972.873,25896.934,22171.911,21805.257,21726.89,18114.716,18110.873,18897.637
Grenada,GRD,4751.576,5117.59,5109.959,5292.233,5773.074,5836.178,6754.513,6766.487,7324.191,7947.427,7395.064,7365.642,7410.478,7583.189,7956.077,8569.927,9333.271,9892.48,10451.031
Guatemala,GTM,1448.276,1475.207,1568.379,1701.769,1753.339,1872.738,2077.835,2256.559,2489.954,2794.241,2635.743,2825.507,3187.836,3299.603,3452.83,3687.748,3923.56,4140.717,4469.457
Guinea,GIN,557.831,461.784,427.879,444.663,517.03,538.88,470.57,426.419,628.711,675.387,637.478,631.291,540.562,637.791,712.982,729.798,712.047,687.118,801.89
Guinea-Bissau,GNB,347.737,304.618,311.913,328.781,375.135,409.126,442.734,436.702,502.821,613.081,571.99,582.54,736.686,649.026,671.136,662.382,643.916,708.398,793.622
Guyana,GUY,1549.823,1513.77,1517.114,1560.957,1612.484,1697.202,1766.006,1956.018,2334.01,2560.997,2693.189,3004.231,3414.761,3779.463,3926.363,4029.779,4168.479,4531.241,4578.204
Haiti,HTI,494.256,462.491,413.718,393.004,329.766,387.951,465.33,505.495,615.81,674.858,668.272,662.013,740.848,766.807,810.172,829.911,809.672,753.91,783.789
Honduras,HND,1009.365,1088.783,1130.406,1132.872,1157.306,1217.655,1311.741,1437.626,1592.571,1751.597,1802.875,1919.472,2113.277,2178.415,2136.742,2242.712,2341.277,2382.608,2491.474
Hong Kong SAR,HKG,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32422.056,34951.031,36619.811,38230.066,40182.28,42321.712,43496.299,46091.216
Hungary,HUN,4795.711,4628.314,5276.6,6655.221,8413.014,10286.309,11193.837,11441.421,13893.381,15729.058,13019.039,13073.96,14097.944,12873.202,13646.269,14182.698,12487.225,12818.716,14264.252
Iceland,ISL,32539.786,32265.459,28957.269,32433.603,39567.447,47612.444,57267.863,57408.956,69928.197,56759.305,41220.967,43080.596,47600.734,46073.943,49815.679,54527.563,52838.356,62004.698,72389.872
India,IND,462.218,462.978,471.701,491.989,571.555,656.517,747.335,837.46,1076.835,1048.735,1153.188,1422.929,1497.746,1481.562,1485.595,1610.355,1639.69,1761.626,2014.013
Indonesia,IDN,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3884.718
Islamic Republic of Iran,IRN,4387.747,5698.409,5119.721,1957.433,2272.5,2734.027,3288.366,3834.729,4929.064,5621.054,5608.976,6504.869,7680.859,5118.474,5152.037,5395.791,4723.476,5026.648,5289.795
Iraq,IRQ,,,,,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5047.118,4714.468,5210.644
Ireland,IRL,26189.625,26151.622,28079.52,32438.465,40921.155,47336.152,50475.596,53762.863,60812.431,61193.195,52100.83,48716.462,51931.995,48892.231,51550.927,55534.102,61702.511,63289.731,68722.578
Israel,ISR,19127.555,21038.051,20302.391,18433.046,18963.273,19885.354,20559.211,21836.337,24907.918,29557.068,27726.359,30670.34,33713.121,32556.96,36359.933,37750.29,35869.725,37382.957,40560.256
Italy,ITA,21967.88,20112.612,20419.537,22288.641,27488.526,31239.993,31958.532,33339.747,37685.357,40689.108,36849.944,35657.647,38003.359,34469.65,35219.817,35456.675,30153.407,30824.303,32132.468
Jamaica,JAM,3473.435,3510.575,3529.711,3700.053,3562.456,3816.905,4187.91,4430.505,4756.273,5054.564,4435.269,4812.255,5232.302,5332.494,5104.904,4953.222,5029.073,4986.453,5193.489
Japan,JPN,36039.077,38535.586,33850.883,32300.666,34831.196,37696.723,37223.77,35463.873,35342.476,39453.494,41014.185,44673.608,48168.804,48632.903,40490.155,38156.33,34568.925,38804.858,38344.022
Jordan,JOR,1624.979,1657.911,1728.164,1812.292,1889.218,2061.461,2203.088,2537.302,2762.815,3384.153,3492.099,3679.19,3826.552,3930.945,4054.771,4129.994,4145.481,4151.16,4201.656
Kazakhstan,KAZ,1132.126,1230.49,1491.652,1657.151,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.504,9005.26,11553.127,12300.476,13789.254,12712.103,10434.755,7658.458,8953.477
Kenya,KEN,500.113,479.303,479.603,473.995,524.743,549.163,621.283,743.439,895.226,978.454,982.003,1038.953,1054.979,1238.875,1318.788,1431.319,1453.296,1559.391,1695.151
Kiribati,KIR,832.622,802.478,732.872,824.831,1016.381,1128.371,1212.132,1166.435,1376.275,1456.908,1332.071,1518.57,1741.139,1798.255,1731.38,1655.862,1556.496,1598.885,1641.565
Korea,KOR,10409.356,11947.604,11252.866,12782.543,14209.341,15907.677,18639.523,20888.38,23060.709,20430.64,18291.92,22086.953,24079.79,24358.78,25890.016,27811.367,27105.078,27608.248,29749.796
Kosovo,UVK,,1423.317,1706.38,1788.219,2182.801,2219.995,2265.779,2340.117,2792.682,3323.131,3243.825,3290.697,3763.399,3581.934,3885.783,4098.918,3637.434,3766.258,4026.798
Kuwait,KWT,13358.134,17012.776,15108.112,15759.074,18786.749,21585.563,27014.773,31907.199,33732.522,42827.126,30414.739,32216.413,41657.444,45726.188,44754.341,40278.045,27398.083,25267.146,26863.331
Kyrgyz Republic,KGZ,254.832,277.937,307.038,320.43,378.357,431.162,473.873,540.539,719.775,960.95,865.597,875.264,1116.335,1166.15,1269.791,1266.639,1109.428,1109.589,1231.145
Lao P.D.R.,LAO,278.724,333.16,334.638,345.385,416.07,479.63,542.382,686.652,822.36,1013.823,1080.469,1242.962,1463.469,1640.935,1899.979,2075.142,2212.402,2416.855,2555.093
Latvia,LVA,3140.33,3334.254,3548.505,4116.125,5111.495,6315.403,7533.788,9635.172,14010.237,16316.827,12131.328,11228.129,13735.616,13762.164,14951.88,15680.89,13587.684,14071.876,15652.613
Lebanon,LBN,5436.75,5256.615,5163.658,5343.647,5260.892,5473.481,5390.208,5434.252,6086.795,7109.513,8480.989,8858.284,8734.189,8996.561,8882.804,8619.257,8540.387,8530.362,8778.472
Lesotho,LSO,501.76,487.528,403.301,441.119,637.051,794.361,851.046,870.724,1001.122,922.427,1082.998,1309.59,1431.874,1358.874,1273.884,1336.387,1179.115,1216.635,1352.702
Liberia,LBR,,329.508,329.222,329.274,260.968,307.058,316.487,360.524,424.942,512.351,504.518,550.36,640.709,707.708,777.479,777.021,764.411,772.393,754.663
Libya,LBY,7067.876,7388.136,6485.16,3833.574,4831.424,5988.392,8467.716,9659.637,11711.138,12570.871,8524.772,11417.422,5402.251,12693.637,8282.151,3876.411,2719.954,2903.741,4739.917
Lithuania,LTU,3113.638,3297.451,3530.201,4146.106,5505.586,6706.027,7880.346,9246.514,12313.169,15047.25,11866.627,12010.676,14386.61,14354.291,15695.744,16584.719,14299.136,14988.706,16863.646
Luxembourg,LUX,49539.609,49173.442,48489.549,53348.367,66045.429,76318.336,81104.54,90494.693,107013.816,115987.042,104357.921,106184.607,117340.49,108047.815,114998.316,120449.605,101665.002,102361.016,105712.976
Macao SAR,MAC,,,15611.341,16622.642,18346.564,22881.103,24969.752,28805.634,34084.156,38086.666,39615.339,50921.113,65867.576,73937.747,84859.859,86997.503,70132.996,70278.052,77414.524
Madagascar,MDG,243.816,246.283,278.987,262.742,317.421,245.67,275.516,292.991,379.066,472.38,417.177,414.145,456.329,444.958,462.46,452.81,400.348,399.689,447.657
Malawi,MWI,261.557,250.462,240.396,272.824,245.144,259.727,267.785,284.729,306.9,358.416,405.62,442.765,493.843,359.588,317.471,343.979,353.507,294.755,324.813
Malaysia,MYS,3710.067,4286.832,4130.378,4379.641,4673.914,5171.417,5599.049,6264.419,7378.585,8646.566,7439.435,8920.481,10252.588,10655.464,10699.659,11008.868,9511.81,9380.975,9827.669
Maldives,MDV,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.781,6128.46,7337.931,7450.777,8086.665,8078.262,8719.534,9766.148,10787.471,11781.094,12447.185,13510.169
Mali,MLI,331.765,277.783,316.174,345.481,404.829,453.969,504.789,539.577,616.721,716.361,721.976,732.454,861.687,801.084,827.347,872.027,772.639,802.407,853.905
Malta,MLT,9944.329,10440.479,10391.869,11337.664,13648.264,15126.472,15899.493,16765.532,19584.633,22116.124,20806.321,21150.423,22918.101,22070.54,24032.664,26319.614,24336.828,25411.365,27707.376
Marshall Islands,MHL,2148.98,2195.083,2309.828,2546.271,2576.426,2630.462,2740.614,2849.332,2978.24,2958.77,2962.443,3180.495,3302.319,3497.434,3590.891,3444.55,3363.371,3652.923,3775.942
Mauritania,MRT,534.706,477.468,464.222,460.947,528.573,601.782,697.549,965.561,1009.068,1167.525,1046.83,1203.375,1393.253,1364.277,1450.572,1326.665,1154.982,1089.425,1112.869
Mauritius,MUS,3859.149,4102.593,4026.943,4196.429,5005.417,5626.004,5516.198,5695.975,6574.664,8030.052,7318.126,8000.376,9197.043,9291.236,9637.016,10151.727,9258.563,9681.416,10491.068
Mexico,MEX,6019.94,7016.24,7409.68,7465.916,6964.629,7383.023,8189.161,8997.269,9588.507,9973.021,7975.422,9258.198,10204.512,10261.045,10764.334,10980.985,9673.643,8814.916,9376.986
Micronesia,FSM,2061.643,2179.424,2257.322,2277.946,2311.653,2268.897,2370.444,2413.778,2457.377,2531.364,2710.27,2885.869,3032.447,3192.666,3095.855,3112.864,3080.327,3241.255,3548.96
Moldova,MDA,385.906,434,489.91,551.248,658.922,866.001,999.052,1142.31,1478.475,2036.943,1831.31,1959.627,2364.735,2446.303,2669.23,2675.043,2174.329,2273.158,2726.536
Mongolia,MNG,520.73,552.979,610.301,662.699,747.092,919.755,989.177,1321.611,1616.137,2109.269,1687.55,2602.373,3702.359,4281.33,4293.834,4081.015,3842.536,3576.857,3597.858
Montenegro,MNE,,1577.088,1870.594,2062.168,2733.985,3370.871,3679.44,4431.06,5984.678,7402.671,6744.163,6694.342,7325.659,6590.433,7189.148,7389.886,6517.419,7028.208,7779.366
Morocco,MAR,1492.184,1373.92,1376.532,1453.941,1768.603,1999.125,2063.312,2242.729,2549.881,2946.926,2922.586,2896.564,3111.538,2979.738,3200.479,3259.721,2964.961,2996.652,3147.847
Mozambique,MOZ,290.316,255.35,243.134,257.603,279.204,330.198,361.492,382,423.366,502.5,475.416,429.948,524.891,589.818,604.999,619.907,528.934,379.004,426.091
Myanmar,MMR,154.663,195.621,182.31,162.283,197.611,246.159,274.473,295.172,362.973,512.417,643.149,800.245,1080,1156.903,1187.524,1230.527,1219.478,1156.891,1166.04
Namibia,NAM,1874.47,2139.706,1939.787,1811.249,2607.864,3440.966,3708.785,4007.733,4378.564,4198.55,4340.183,5410.977,5870.933,6038.862,5793.927,5717.763,5160.201,4852.047,5593.303
Nauru,NRU,,,,,,3122.457,3094.19,3113.76,2211.395,4185.191,4634.289,4936.669,7214.337,10005.006,10036.184,9872.939,8055.542,7823.642,8574.738
Nepal,NPL,231.853,241.384,243.808,243.256,253.616,287.4,319.028,348.632,393.848,473.841,480.72,592.152,695.694,681.792,688.584,705.94,747.161,730.984,849.011
Netherlands,NLD,28299.668,26220.068,26891.919,29294.213,35734.217,40404.223,42046.721,44901.089,51804.204,57916.253,52648.416,51046.246,54209.22,50100.615,52201.723,52914.136,45205.77,46027.694,48555.353
New Zealand,NZL,15280.988,13978.23,13560.579,15552.302,20304.755,24689.819,27206.073,26077.523,31784.19,31663.804,28099.897,33222.255,37985.398,39553.735,41775.712,43857.784,37741.881,38982.796,41350.257
Nicaragua,NIC,981.02,1016.421,1045.954,1010.053,1015.403,1091.002,1175.114,1240.992,1344.301,1518.805,1464.251,1526.494,1682.955,1792.041,1847.201,1975.465,2073.494,2143.812,2221.801
Niger,NER,188.221,159.23,164.088,180.832,223.463,237.215,263.785,275.509,312.751,382.36,368.278,378.205,410.743,431.37,462.028,481.612,411.122,418.272,433.74
Nigeria,NGA,496.495,570.17,598.294,748.313,797.64,982.976,1245.073,1591.326,1822.793,2234.359,1958.577,2365.013,2582.57,2797.857,3042.045,3268.391,2763.196,2207.861,1994.645
North Macedonia,MKD,1931.989,1878.237,1839.616,1974.061,2440.813,2796.622,3071.897,3359.608,4076.296,4838.148,4579.092,4576.228,5174.894,4728.267,5239.722,5498.606,4860.421,5153.016,5448.428
Norway,NOR,36278.683,38063.119,38501.575,42974.684,50023.114,57478.74,66652.737,73936.764,84946.459,96626.3,79836.109,87432.376,100307.39,101273.375,102722,96837.607,74280.697,70703.165,75513.639
Oman,OMN,6605.919,8120.715,7961.211,8108.723,8565.258,9635.825,11873.176,13938.207,15436.806,21866.269,16784.913,19774.797,22726.637,23282.204,21920.148,21814.151,18243.808,16447.318,17128.372
Pakistan,PAK,617.576,583.32,555.226,544.369,611.429,705.723,776.77,883.243,963.279,1037.612,998.186,1031.652,1218.342,1254.17,1266.742,1312.427,1424.954,1439.63,1545.938
Palau,PLW,,7567.544,8092.968,8365.523,7828.409,8345.659,9277.002,9534.878,9978.702,10365.912,9803.726,9999.052,10767.401,12304.297,12853.23,13961.499,16597.248,16828.691,15885.874
Panama,PAN,4070.418,4046.456,4029.975,4106.466,4244.176,4565.096,4886.41,5315.835,6127.034,7110.228,7532.399,8039.764,9314.687,10674.487,11841.893,12756.952,13606.597,14356.447,15198.089
Papua New Guinea,PNG,1030.838,1025.035,877.089,850.612,1012.581,1111.442,1264.811,1403.678,1576.142,1883.501,1833.075,2132.181,2552.03,2865.807,2800.157,2973.289,2605.935,2353.468,2463.624
Paraguay,PRY,1706.395,1675.793,1577.681,1312.083,1377.521,1693.886,1857.773,2284.975,2988.681,4047.755,3622.628,4347.206,5298.454,5151.373,5882.781,6050.042,5353.075,5259.938,5609.848
Peru,PER,1929.712,1962.982,1957.517,2036.375,2178.487,2429.335,2695.726,3121.91,3587.798,4227.529,4165.803,5051.256,5733.22,6402.12,6632.217,6561.775,6147.838,6175.884,6728.093
Philippines,PHL,1077.999,1051.973,970.377,1013.424,1024.77,1093.48,1208.934,1405.206,1683.688,1940.995,1851.073,2155.409,2379.941,2591.627,2768.472,2849.267,2882.768,2953.208,2988.897
Poland,POL,4339.597,4476.245,4978.051,5195.281,5691.335,6684.461,8019.766,9035.259,11264.718,14004.757,11541.353,12601.915,13886.833,13158.073,13777.295,14342.832,12565.735,12427.647,13867.607
