Country,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lao P.D.R.,LAO,846,1358,1398,1245,896,1147,1242,2892,2575,2198,1688,1200,956,949,923,806,917,856,685
Latvia,LVA,444,548,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391,359
Lebanon,LBN,3033,3662,4579,3935,2956,3818,4282,4083,4267,4254,3831,3487,3295,2879,2783,3245,2813,2971,2818
Lesotho,LSO,5,9,6,13,5,14,12,18,14,16,14,23,25,17,20,13,23,19,24
Liberia,LBR,1351,1570,2273,2869,1766,2757,4880,6887,4102,7193,7641,4837,4151,4109,3334,3874,3795,3619,4155
Libya,LBY,156,180,223,158,140,185,223,271,186,285,296,355,357,315,376,524,734,642,780
Lithuania,LTU,1147,1349,1732,1786,2266,2480,2417,1885,1361,967,1069,985,936,924,854,747,750,735,645
Luxembourg,LUX,11,26,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34,33
Macao SAR,MAC,294,270,340,284,244,192,133,189,178,205,158,143,130,120,106,105,99,109,109
Macedonia,,569,790,921,821,653,775,1070,1317,1227,1107,1128,963,1078,906,895,960,1060,1262,1027
Madagascar,MDG,26,33,61,43,40,54,60,72,53,77,71,80,83,79,95,86,72,88,60
Malawi,MWI,41,61,70,56,62,83,131,131,123,133,164,164,123,192,159,172,160,205,228
Malaysia,MYS,991,1551,2439,2124,1200,1987,2632,2281,2149,1945,2014,1714,2273,2605,2477,2622,2749,3382,4109
Maldives,MDV,0,,9,9,15,7,6,,9,,6,5,3,3,5,13,8,11,5
Mali,MLI,72,109,119,105,124,163,277,408,412,523,576,528,629,734,667,604,587,598,544
Malta,MLT,43,54,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65,75
Marshall Islands,MHL,3,3,,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32,23
Martinique,,23,20,22,19,14,26,37,30,,,,,,,,,,,
Mauritania,MRT,24,88,117,124,131,170,275,720,651,844,597,495,393,410,354,320,298,317,287
Mauritius,MUS,38,54,84,83,57,65,99,108,88,83,110,84,101,77,83,81,96,110,96
Mexico,MEX,147402,173493,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120,143446,146406,135028,134052,158619,174534,170581
Micronesia,FSM,,5,9,,4,5,6,12,7,13,16,10,9,13,4,5,6,11,6
Monaco,,5,12,9,17,,7,7,,6,7,4,12,6,5,8,8,10,11,14
Mongolia,MNG,41,46,102,135,153,229,323,497,530,659,831,594,774,691,729,651,644,750,661
Montenegro,MNE,,,,,,,,,,,,120,204,265,265,289,251,387,323
Montserrat,,80,70,61,42,36,33,50,90,66,61,43,27,30,27,,38,14,14,12
Morocco,MAR,2970,3614,4958,3387,3137,4128,4411,4949,4513,4425,5447,5013,4399,3656,3336,3605,3710,4586,4229
Mozambique,MOZ,31,41,48,54,36,59,54,78,81,69,66,53,60,94,73,71,107,101,96
Namibia,NAM,13,30,54,46,40,40,63,56,57,46,53,60,43,59,57,44,86,87,130
Nepal,NPL,453,616,945,1137,2095,2878,3158,3733,3472,4093,4514,7115,10166,11312,13046,12357,12926,12851,11610
Netherlands,NLD,773,1337,1679,1549,981,1303,1815,1651,1368,1240,1499,1321,1085,1091,1142,1195,1309,1319,1056
Netherlands Antilles,,35,53,114,97,59,72,116,100,93,78,97,77,86,106,128,45,22,18,9
New Caledonia,,3,3,6,5,,,5,7,5,5,13,6,5,3,6,6,9,5,4
