,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
305,France,132.0,FRA,2196.0,3442.0,4569.0,3797.0,2375.0,3595.0,4399.0,4258.0,3494.0,4935.0,4569.0,3919.0,3653.0,3862.0,4425.0,4284.0,4693.0,5159.0,4782.0,Europe
368,Gabon,646.0,GAB,4.0,18.0,32.0,41.0,40.0,50.0,66.0,85.0,95.0,82.0,171.0,138.0,204.0,197.0,127.0,167.0,146.0,165.0,150.0,Africa
400,Georgia,915.0,GEO,310.0,493.0,786.0,886.0,735.0,964.0,1389.0,2003.0,1554.0,1620.0,1578.0,1518.0,1490.0,1341.0,1368.0,1240.0,1410.0,1635.0,1629.0,Asia
401,Germany,134.0,DEU,5166.0,7565.0,9790.0,8888.0,5064.0,7099.0,9264.0,8436.0,7582.0,7091.0,7583.0,6888.0,6125.0,5812.0,6032.0,5584.0,5436.0,5306.0,4662.0,Europe
402,Ghana,652.0,GHA,3707.0,4339.0,4023.0,4248.0,4410.0,5337.0,6491.0,9367.0,7610.0,8195.0,8401.0,7429.0,8798.0,10592.0,10265.0,7115.0,6186.0,6949.0,8455.0,Africa
403,Greece,174.0,GRC,719.0,950.0,1155.0,1009.0,651.0,769.0,1070.0,1124.0,882.0,769.0,798.0,745.0,949.0,1054.0,1361.0,1235.0,1211.0,1451.0,1314.0,Europe
404,Grenada,328.0,GRD,661.0,655.0,645.0,634.0,481.0,609.0,840.0,1068.0,751.0,784.0,748.0,664.0,579.0,671.0,687.0,633.0,525.0,585.0,544.0,Latin America and the Caribbean
436,Guatemala,258.0,GTM,7294.0,9942.0,13496.0,16178.0,14386.0,18920.0,16818.0,24133.0,17908.0,16182.0,12187.0,10467.0,11092.0,10341.0,10224.0,10238.0,11773.0,13002.0,13198.0,Latin America and the Caribbean
437,Guinea,656.0,GIN,5.0,3.0,11.0,16.0,29.0,347.0,495.0,1110.0,1088.0,1735.0,1725.0,1379.0,1555.0,1656.0,1518.0,1375.0,1389.0,1501.0,1348.0,Africa
438,Guinea-Bissau,654.0,GNB,134.0,204.0,273.0,289.0,176.0,5.0,26.0,25.0,25.0,17.0,20.0,30.0,29.0,47.0,43.0,30.0,39.0,37.0,48.0,Africa
