Country,WEO,ISO,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Canada,156,CAN,11280.297,12396.511,12543.793,13492.985,13947.165,14185.973,14539.226,16407.77,19040.793,20841.738,21571.678,21885.372,20984.362,20210.342,20024.768,20706.122,21325.805,21929.488,21046.886,22339.861,24301.106,23860.724,24294.894,28337.814,32182.891,36428.387,40557.364,44714.784,46775.922,40934.5,47625.003,52271.536,52753.346,52726.053,50958.059,43615.795,42446.551,45223.971
Central African Republic,626,CAF,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,243.232,242.266,255.649,289.835,322.802,337.641,362.233,413.345,474.39,464.514,456.564,495.035,480.053,329.444,362.872,330.563,359.365,388.603
Chad,628,TCD,167.345,193.153,182.076,177.734,186.265,196.954,236.6,261.657,298.418,274.973,323.311,312.824,318.428,271.777,215.007,248.074,269.041,252.174,277.79,238.555,210.22,252.59,287.299,360.742,567.507,739.405,804.48,915.118,1072.769,933.675,1046.89,1162.474,1155.526,1180.371,1240.999,946.877,851.544,811.783
Chile,228,CHL,2579.93,3004.742,2204.389,1762.224,1687.029,1424.37,1504.439,1743.889,2021.055,2289.459,2503.878,2829.749,3368.289,3547.034,4030.083,5117.721,5349.607,5743.645,5446.61,4952.689,5071.555,4572.852,4443.656,4770.309,6192.907,7600.083,9473.008,10507.889,10749.235,10219.734,12793.548,14610.753,15307.766,15804.358,14643.845,13571.968,13775.713,15127.763
China,924,CHN,309.354,290.617,282.054,298.692,303.408,295.336,282.158,302.199,371.015,409.094,348.651,358.826,423.032,525.708,472.65,608.375,708.58,780.854,827.641,872.226,958.566,1053.129,1150.227,1293.124,1512.635,1765.732,2110.563,2703.003,3467.03,3837.903,4524.055,5582.887,6329.464,7080.828,7701.691,8166.756,8115.828,8677.4
Colombia,233,COL,1629.099,1736.152,1819.306,1769.966,1711.856,1572.193,1542.359,1572.577,1660.552,1640.393,1637.503,1658.071,1923.575,2139.177,2640.385,2939.102,3037.632,3291.581,2992.93,2588.918,2455.11,2383.312,2347.506,2240.207,2737.578,3384.606,3717.547,4684.011,5444.823,5170.526,6285.198,7264.109,7950.381,8103.486,7998.843,6088.678,5799.615,6325.486
Comoros,632,COM,455.232,388.699,360.17,341.489,325.936,321.002,421.681,493.97,505.564,468.832,573.641,581.286,615.15,596.546,390.844,477.158,464.134,418.543,416.315,421.218,374.641,399.109,446.955,564.642,615.437,641.618,651.581,732.773,816.981,802.234,793.273,866.916,823.779,884.68,898.648,742.284,759.684,784.741
Democratic Republic of the Congo,636,COD,2607.244,2197.24,2312.736,1805.781,1166.488,1032.032,1120.941,1027.354,1152.288,1135.105,1138.475,1070.239,935.229,1182.365,621.048,584.269,731.024,642.729,461.123,410.453,397.025,165.273,165.757,159.636,172.83,187.188,216.815,240.339,272.142,252.439,275.665,318.049,346.375,398.627,425.406,441.581,439.01,449.242
Republic of Congo,634,COG,1311.065,1042.618,881.785,777.733,693.686,690.061,915.602,1079.073,1113.618,1107.124,1260.674,1191.066,1250.849,1116.788,718.177,837.921,981.466,875.412,716.86,845.576,1126.961,954.134,1006.064,1138.187,1475.48,1886.102,2335.388,2192.48,2936.932,2624.081,3364.131,3950.862,3555.944,3561.155,3492.5,2067.086,1835.828,2068.231
Costa Rica,238,CRI,2100.757,1107.138,1067.872,1252.589,1415.777,1472.762,1605.215,1606.451,1591.98,1756.797,1873.621,2318.477,2688.046,2927.069,3105.446,3327.394,3265.484,3437.063,3638.579,3703.132,3927.591,4029.576,4108.17,4213.892,4470.856,4743.154,5295.906,6187.386,7003.463,6897.244,8264.202,9260.859,10054.526,10632.948,10679.134,11422.598,11779.244,11810.183
