Country,WEO,ISO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Haiti,263,HTI,509875,530897,534969,538582,587149,592260,606365,593980,628003,675546,668223,679752
Honduras,268,HND,405258,430504,460197,467943,522581,490636,521682,533598,588301,599030,651059,655362
Hong Kong SAR,532,HKG,217237,206887,210454,210273,199971,215814,219231,213034,225834,233373,212253,235705
Hungary,944,HUN,84070,79047,80333,77799,78368,77485,69154,74213,65845,70255,62296,64742
India,534,IND,1519157,1501782,1622522,1665219,1780322,1856777,1967998,2034677,2205912,2389639,2434524,2610537
Indonesia,536,IDN,90882,84079,85850,84096,99768,97244,86872,94600,94632,90833,94453,101232
Islamic Republic of Iran,429,IRN,326312,326205,344935,362699,356756,362371,378520,363972,365288,394223,386073,395429
Iraq,433,IRQ,101878,102393,100966,154220,159800,170366,177028,200894,217257,215193,221587,232418
Ireland,178,IRL,133433,135722,134897,121982,124457,132540,132277,128350,125022,120144,125840,120187
Israel,436,ISR,135003,134438,146179,140323,127896,133400,138468,127079,132730,129680,142078,142934
Italy,136,ITA,419811,417511,392798,375666,364972,373897,354028,354305,356831,352492,335763,333911
Jamaica,343,JAM,631374,597940,636589,651177,659771,696990,680845,714743,705804,711134,736303,744658
Japan,158,JPN,353576,352933,333860,331090,319256,318225,329499,339970,336027,335767,355156,344453
Jordan,439,JOR,,,,60406,63615,69062,58744,65618,69719,81767,81930,78398
Kazakhstan,916,KAZ,,,,25389,22401,23910,24162,26334,26527,29859,32017,30035
Kenya,664,KEN,79111,80595,83489,87267,88519,102561,106727,110678,121300,129905,129670,138150
Korea,542,KOR,1023956,1042580,1030691,1004329,1100422,1082613,1084662,1070335,1079784,1060019,1041727,1063074
Kuwait,443,KWT,,,,21467,26318,24466,27347,22731,29089,31781,36659,33204
Lao P.D.R.,544,LAO,192110,190605,189274,191780,192302,183768,198149,196154,193979,197016,183894,186035
Latvia,941,LVA,,,,26281,23218,22257,24131,24497,21097,21364,24691,23201
Lebanon,446,LBN,112840,124187,127737,123614,121000,118395,121684,124256,119490,119613,128608,124847
Liberia,668,LBR,64100,72125,65373,72111,66089,72262,73131,78909,82154,79497,88090,93891
