Country,WEO,ISO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lao P.D.R.,544,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,446,LBN,,,,,,,,,,,,,,,,,,,183,145,163,168,194,236,240,231,235,
Liberia,668,LBR,,,,,,,,,,,,,,,,,,100,177,145,129,161,135,,,,,
Libya,672,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,362,LCA,14,10,14,8,10,16,12,13,14,16,23,34,42,36,37,41,43,29,39,39,44,46,39,33,34,28,30,53
Sri Lanka,524,LKA,1985,,,,,1614,1775,1851,,1919,,,,1310,1377,1219,2044,,2002,1099,763,732,676,619,553,487,530,486
Lesotho,666,LSO,519,549,640,665,833,,,,,,,,,,,,,895,752,723,764,712,641,658,,897,,
Lithuania,946,LTU,180,214,266,416,465,502,405,391,311,309,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153,129
Luxembourg,137,LUX,,,,,6,2,4,4,4,6,4,9,6,3,2,4,7,7,8,5,10,4,0,1,4,5,5,2
Latvia,941,LVA,,,259,387,348,288,268,272,250,229,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,69,81
Macao SAR,546,MAC,,19,7,13,15,8,17,30,24,37,10,8,2,8,4,4,10,6,4,6,2,4,4,1,0,1,1,2
Morocco,686,MAR,89,124,132,148,184,,,732,556,540,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,594,761
Moldova,921,MDA,290,290,499,387,401,402,400,414,375,391,433,411,401,319,277,296,262,217,236,246,267,304,229,169,130,,,
Madagascar,674,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,556,MDV,1,,,,,2,,6,,,,7,8,4,,,,3,5,6,6,3,10,3,,,,
Mexico,273,MEX,14493,15128,16594,16040,15839,15612,14505,13552,13656,12249,10737,10285,10088,10087,9329,9921,10452,8867,14006,19803,25757,27213,25967,23063,20010,20762,24559,32079
Marshall Islands,867,MHL,,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Mali,678,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,181,MLT,4,3,6,7,3,,,,5,10,4,6,6,0,7,4,0,4,6,4,4,3,12,7,6,4,,
Myanmar,518,MMR,2046,,,,,1613,,,,,1041,916,814,764,743,676,777,749,791,879,801,1055,1436,1238,1230,1152,1198,
Montenegro,943,MNE,,,,,,,,,,,,,27,20,14,22,25,12,24,21,15,21,17,10,20,17,28,15
Mongolia,948,MNG,,,,,,,,,,,,,,343,333,398,336,293,212,219,239,266,199,205,213,184,171,191
Mozambique,688,MOZ,,,,,,,,,,,,1100,1040,1044,1130,1089,894,849,995,823,875,849,,,,,,
Mauritania,682,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,684,MUS,20,29,31,21,27,25,34,24,31,23,26,,,39,35,37,50,45,48,38,33,34,29,35,19,21,23,
Malawi,676,MWI,,,,,,,,,,,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,,
Malaysia,548,MYS,313,384,366,360,336,396,447,540,629,588,551,517,565,565,497,604,588,652,597,561,540,530,602,627,,,,
Namibia,728,NAM,,,,,,373,353,327,407,379,380,353,346,,352,,,,354,388,314,308,388,,,,,
Niger,692,NER,,,,,,,,,,,,,,,,,,,,,,831,788,,,,,
Nigeria,694,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,278,NIC,672,732,826,762,725,707,662,679,639,561,476,537,554,635,646,729,722,714,736,802,785,738,673,594,525,524,453,
Netherlands,138,NLD,135,177,193,192,171,193,211,208,176,203,180,202,195,202,191,174,128,143,150,154,144,143,145,125,123,104,94,132
Norway,142,NOR,47,50,46,38,33,42,43,38,38,33,48,37,46,51,36,33,33,30,34,29,29,111,27,46,29,24,27,28
Nepal,558,NPL,354,,,,,,,575,650,630,635,848,858,757,936,878,610,841,892,806,813,679,642,606,558,,627,
Nauru,836,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,196,NZL,63,54,67,41,57,39,48,60,49,45,52,51,60,44,45,61,49,48,51,67,43,39,41,46,43,48,50,35
Oman,449,OMN,,,,,,,,,,,,,,,,,,,,,,,,,12,16,18,24
